Tiempo de latencia en red (Beta): 66.000000 (microSec) 
numElementos: 32 	tamañoMensaje: 256 (bytes) 	Tau: 0.398438 (microSec) 	Tcom: 168.000000 
numElementos: 64 	tamañoMensaje: 512 (bytes) 	Tau: 0.484375 (microSec) 	Tcom: 314.000000 
numElementos: 128 	tamañoMensaje: 1024 (bytes) 	Tau: 0.479980 (microSec) 	Tcom: 557.500000 
numElementos: 256 	tamañoMensaje: 2048 (bytes) 	Tau: 0.415283 (microSec) 	Tcom: 916.500000 
numElementos: 512 	tamañoMensaje: 4096 (bytes) 	Tau: 0.337646 (microSec) 	Tcom: 1449.000000 
numElementos: 1024 	tamañoMensaje: 8192 (bytes) 	Tau: 0.277588 (microSec) 	Tcom: 2340.000000 
numElementos: 2048 	tamañoMensaje: 16384 (bytes) 	Tau: 0.235535 (microSec) 	Tcom: 3925.000000 
numElementos: 4096 	tamañoMensaje: 32768 (bytes) 	Tau: 0.209457 (microSec) 	Tcom: 6929.500000 
numElementos: 8192 	tamañoMensaje: 65536 (bytes) 	Tau: 0.193008 (microSec) 	Tcom: 12715.000000 
numElementos: 16384 	tamañoMensaje: 131072 (bytes) 	Tau: 0.184284 (microSec) 	Tcom: 24220.500000 
numElementos: 32768 	tamañoMensaje: 262144 (bytes) 	Tau: 0.178776 (microSec) 	Tcom: 46931.000000 
numElementos: 65536 	tamañoMensaje: 524288 (bytes) 	Tau: 0.175447 (microSec) 	Tcom: 92050.500000 
numElementos: 131072 	tamañoMensaje: 1048576 (bytes) 	Tau: 0.173511 (microSec) 	Tcom: 182005.000000 
numElementos: 262144 	tamañoMensaje: 2097152 (bytes) 	Tau: 0.172728 (microSec) 	Tcom: 362303.500000 
numElementos: 524288 	tamañoMensaje: 4194304 (bytes) 	Tau: 0.173469 (microSec) 	Tcom: 727646.500000 

Tiempo de latencia en red (Beta): 57.200001 (microSec) 
numElementos: 32 	tamañoMensaje: 256 (bytes) 	Tau: 0.213047 (microSec) 	Tcom: 111.740002 
numElementos: 64 	tamañoMensaje: 512 (bytes) 	Tau: 0.233102 (microSec) 	Tcom: 176.548000 
numElementos: 128 	tamañoMensaje: 1024 (bytes) 	Tau: 0.210752 (microSec) 	Tcom: 273.009602 
numElementos: 256 	tamañoMensaje: 2048 (bytes) 	Tau: 0.174806 (microSec) 	Tcom: 415.201923 
numElementos: 512 	tamañoMensaje: 4096 (bytes) 	Tau: 0.136533 (microSec) 	Tcom: 616.440357 
numElementos: 1024 	tamañoMensaje: 8192 (bytes) 	Tau: 0.116478 (microSec) 	Tcom: 1011.388050 
numElementos: 2048 	tamañoMensaje: 16384 (bytes) 	Tau: 0.105242 (microSec) 	Tcom: 1781.477589 
numElementos: 4096 	tamañoMensaje: 32768 (bytes) 	Tau: 0.100180 (microSec) 	Tcom: 3339.895557 
numElementos: 8192 	tamañoMensaje: 65536 (bytes) 	Tau: 0.097398 (microSec) 	Tcom: 6440.279102 
numElementos: 16384 	tamañoMensaje: 131072 (bytes) 	Tau: 0.096848 (microSec) 	Tcom: 12751.255665 
numElementos: 32768 	tamañoMensaje: 262144 (bytes) 	Tau: 0.095856 (microSec) 	Tcom: 25185.250782 
numElementos: 65536 	tamañoMensaje: 524288 (bytes) 	Tau: 0.095494 (microSec) 	Tcom: 50123.450001 
numElementos: 131072 	tamañoMensaje: 1048576 (bytes) 	Tau: 0.096357 (microSec) 	Tcom: 101094.793751 
